Date,Location,Minimum Temperature,Maximum Temperature,Evaporation,Sunshine
2009-06-02,Sydney,12.5,19.1,1.2,3.4
2009-06-03,Sydney,13.7,18.5,2.8,0.1
2009-06-04,Sydney,13.1,17,0.01,0.6
2009-06-05,Sydney,13.1,18.5,1,3.5
2009-06-06,Sydney,9.3,19,2.2,9.8
2009-06-07,Sydney,10.7,19.8,3.8,6.6
2009-06-08,Sydney,11.4,19.2,3.2,9
2009-06-09,Sydney,10,16.2,2.6,6
2009-06-10,Sydney,9.7,14.2,4.4,9.6
2009-06-11,Sydney,6.1,15.8,4,9.8
2009-06-12,Sydney,6.2,17.1,3,9.4
2009-06-13,Sydney,7.8,18.5,2.6,4.6
2009-06-14,Sydney,9.4,15.6,3.4,0.3
2009-06-15,Sydney,8.2,19.8,0.8,8.6
2009-06-16,Sydney,9.2,16.3,3,0.5
2009-06-17,Sydney,10.5,15.6,0.8,3.3
2009-06-18,Sydney,10.1,15.4,1,3.3
2009-06-19,Sydney,9.2,18,1.4,7.2
2009-06-20,Sydney,10.9,16,3.8,0.6
2009-06-21,Sydney,11.7,19.1,0.6,1.9
2009-06-22,Sydney,14.1,21,1.8,6.7
2009-06-23,Sydney,10.1,19.6,1.6,9.5
2009-06-24,Sydney,9.1,18.9,1.4,6.3
2009-06-25,Sydney,8.7,16.9,2.2,6.5
2009-06-26,Sydney,8.7,18.6,1.8,8.8
2009-06-27,Sydney,9.4,15.8,2.2,0.2
2009-06-28,Sydney,10.4,18.7,2.2,5.3
2009-06-29,Sydney,9.6,20.7,2,9.8
2009-06-30,Sydney,12.3,19.9,1.4,2.2
2009-07-01,Sydney,15.7,21.2,4,8.6
2009-07-02,Sydney,11,18.9,4.8,8.4
2009-07-03,Sydney,11.1,16.2,5.6,9.4
2009-07-04,Sydney,8.5,17.1,3.8,9.8
2009-07-05,Sydney,10.1,18.1,3,9.8
2009-07-06,Sydney,6.2,15.7,3,6.5
2009-07-07,Sydney,7.5,15.1,2.6,3.9
2009-07-08,Sydney,8.6,16.8,2.6,3.2
2009-07-09,Sydney,9.1,17.6,0.4,4.4
2009-07-10,Sydney,9.5,18.6,1.8,8.4
2009-07-11,Sydney,9.1,16.4,2,3.6
2009-07-12,Sydney,10.3,16.8,1.4,2.3
2009-07-13,Sydney,11.6,17.4,2.4,2.8
2009-07-14,Sydney,10.2,17.2,3.2,9.7
2009-07-15,Sydney,6.7,17.3,2.6,6.9
2009-07-16,Sydney,8.1,16.5,2,2.5
2009-07-17,Sydney,9.2,15.8,3.2,4.5
2009-07-18,Sydney,8,18.6,3,9.8
2009-07-19,Sydney,8,19.9,2.2,9.4
2009-07-20,Sydney,8.2,21.3,2.6,10
2009-07-21,Sydney,8.8,23.4,5.4,10
2009-07-22,Sydney,11.2,24.7,4.8,8
2009-07-23,Sydney,11.4,18.3,5.6,8.1
2009-07-24,Sydney,8.4,17.5,2.2,9.4
2009-07-25,Sydney,7.6,18.6,1.8,9.9
2009-07-26,Sydney,8.9,15.3,5.8,0.3
2009-07-27,Sydney,8.3,18.9,0.4,9
2009-07-28,Sydney,8.1,18.7,3.6,10
2009-07-29,Sydney,9.5,19.5,2.2,9.1
2009-07-30,Sydney,8.5,18.9,4,9.5
2009-07-31,Sydney,9.2,19.7,3,8.5
2009-08-01,Sydney,9.2,19.2,3.8,10.2
2009-08-02,Sydney,7.9,19.2,4,10.1
2009-08-03,Sydney,8.3,20.5,4,8.8
2009-08-04,Sydney,10,19.8,3.2,5.1
2009-08-05,Sydney,7.6,19.3,2.8,9.9
2009-08-06,Sydney,8,19.5,2,9.2
2009-08-07,Sydney,11,23.5,4.8,8.9
2009-08-08,Sydney,7.8,16.8,6.4,9.9
2009-08-09,Sydney,5.9,16.8,2.6,8.4
2009-08-10,Sydney,6.8,16.3,1.8,4.1
2009-08-11,Sydney,9.1,16.8,1.2,2.4
2009-08-12,Sydney,8.9,19.8,1.6,9.7
2009-08-13,Sydney,9,21,5.4,10.2
2009-08-14,Sydney,10.8,21,3,9.9
2009-08-15,Sydney,8.7,22.1,3.2,10.5
2009-08-16,Sydney,9.4,25.7,2,10.2
2009-08-17,Sydney,13,22.9,8,10.2
2009-08-18,Sydney,9,18.9,6.2,10.4
2009-08-19,Sydney,7.8,17.9,4.2,10.4
2009-08-20,Sydney,9.9,21.1,2.8,4.9
2009-08-21,Sydney,11.1,25,4,4.8
2009-08-22,Sydney,14.5,20.8,7,6.3
2009-08-23,Sydney,13.3,25.1,3.6,10.2
2009-08-24,Sydney,17,23.9,5.6,3.5
2009-08-25,Sydney,15.6,20.2,5,10.5
2009-08-26,Sydney,12,21.6,8.4,10.9
2009-08-27,Sydney,11.3,20.9,6,11
2009-08-28,Sydney,10.6,24.8,3.2,10.2
2009-08-29,Sydney,14.8,25.7,9.2,5.2
2009-08-30,Sydney,13.7,19.5,9.2,10.9
2009-08-31,Sydney,9.2,21.5,6,10.9
2009-09-01,Sydney,11.1,22,4.2,10.7
2009-09-02,Sydney,9.7,18.7,3.8,10.9
2009-09-03,Sydney,12,21.1,4.6,4.7
2009-09-04,Sydney,14.7,25.3,1.8,6.9
2009-09-05,Sydney,14.7,21.2,6.4,10.2
2009-09-06,Sydney,10.4,18.2,3.8,10
2009-09-07,Sydney,13.5,19.9,5.4,2.1
2009-09-08,Sydney,11.6,21.1,3.6,8.3
2009-09-09,Sydney,10.3,20.8,3.6,11.2
2009-09-10,Sydney,10,22.2,5,10.9
2009-09-11,Sydney,9.5,22.4,5,10.7
2009-09-12,Sydney,11,28.5,6,10.9
2009-09-13,Sydney,17.3,32.2,8.2,10.9
2009-09-14,Sydney,18.1,19.7,7.4,6.2
2009-09-15,Sydney,15.4,20.4,6.4,6.9
2009-09-16,Sydney,15.6,22.2,3.4,0.01
2009-09-17,Sydney,14.7,32.1,1.6,7.6
2009-09-18,Sydney,19,23.5,10.4,10.2
2009-09-19,Sydney,13.1,20.8,5.4,9.7
2009-09-20,Sydney,13.8,24.7,5.8,8.5
2009-09-21,Sydney,15.7,25.8,8.2,8.1
2009-09-22,Sydney,17.1,31.7,3.4,8.2
2009-09-23,Sydney,17,21.8,11.2,8
2009-09-24,Sydney,15.1,25,7.6,11.3
2009-09-25,Sydney,13.5,25.4,8,11.2
2009-09-26,Sydney,17.1,19.6,11.2,9
2009-09-27,Sydney,10.1,17.2,8,10.8
2009-09-28,Sydney,11,21.4,8.2,7.8
2009-09-29,Sydney,11.4,21,4,11.1
2009-09-30,Sydney,10.9,25.6,5.4,11
2009-10-01,Sydney,14.9,33.1,7,10.8
2009-10-02,Sydney,16.5,20.7,10.2,0.5
2009-10-03,Sydney,13.6,15.2,3,0.01
2009-10-04,Sydney,12.9,17,2.4,0.01
2009-10-05,Sydney,13.1,20.2,1.8,2.2
2009-10-06,Sydney,11.5,19.6,2.6,6.4
2009-10-07,Sydney,10.6,19.3,3.6,8.8
2009-10-08,Sydney,10.5,17.5,6.8,7.4
2009-10-09,Sydney,9.6,17.1,5.2,4.7
2009-10-10,Sydney,8.9,18.6,3.4,6.7
2009-10-11,Sydney,11.8,19.3,3.4,6.7
2009-10-12,Sydney,11.3,22.6,4.8,4.7
2009-10-13,Sydney,17,24.5,5,11.2
2009-10-14,Sydney,15.2,22.1,11.2,8.9
2009-10-15,Sydney,13.8,23,7.6,10
2009-10-16,Sydney,11.8,21.2,7.4,12.1
2009-10-17,Sydney,11.6,21.2,8,12.2
2009-10-18,Sydney,13.8,18.8,5.8,7.9
2009-10-19,Sydney,12.4,20.8,4.4,12.2
2009-10-20,Sydney,14.3,23,5.8,12.1
2009-10-21,Sydney,15.6,34.6,7.6,11.6
2009-10-22,Sydney,17.9,21.3,9.4,1.2
2009-10-23,Sydney,17.5,22.9,5,11.1
2009-10-24,Sydney,16.8,22.1,7,9.2
2009-10-25,Sydney,17.9,20.9,5.6,1.1
2009-10-26,Sydney,14.4,17,0.01,0.01
2009-10-27,Sydney,14.7,18.8,3.8,0.01
2009-10-28,Sydney,14,22.8,3.6,6.3
2009-10-29,Sydney,17,22,5,6
2009-10-30,Sydney,17.3,23.4,4,9.8
2009-10-31,Sydney,18.7,22.8,7.4,10.3
2009-11-01,Sydney,16.9,24.2,8,10.1
2009-11-02,Sydney,18.8,26,7,6.9
2009-11-03,Sydney,18.9,36.9,6.2,11
2009-11-04,Sydney,19.4,19.9,13.2,0.01
2009-11-05,Sydney,16.9,19.8,2.2,1.1
2009-11-06,Sydney,16.7,21.3,3,0.8
2009-11-07,Sydney,17.2,22.9,4.2,6.2
2009-11-08,Sydney,19.1,21.9,6.4,0.7
2009-11-09,Sydney,19.1,23.2,2.6,11
2009-11-10,Sydney,15.9,23.9,5.4,12.8
2009-11-11,Sydney,15.4,23.9,10.2,12.4
2009-11-12,Sydney,16.6,26.7,6.8,11.2
2009-11-13,Sydney,19.5,23,8.8,9.7
2009-11-14,Sydney,15,24.3,6.2,12.6
2009-11-15,Sydney,18.5,25.1,8.8,9.3
2009-11-16,Sydney,18.7,27.6,6.4,10.3
2009-11-17,Sydney,19.4,23.6,8.8,5
2009-11-18,Sydney,17.8,23.8,7.2,6.6
2009-11-19,Sydney,18.4,26.5,8,10.6
2009-11-20,Sydney,21,33.2,8.8,7.6
2009-11-21,Sydney,22,31.5,12.4,10.3
2009-11-22,Sydney,21.2,40.4,7.4,6
2009-11-23,Sydney,19.9,22.8,13.4,0.3
2009-11-24,Sydney,18.1,21.5,5.2,2.1
2009-11-25,Sydney,18.3,25,3,12.2
2009-11-26,Sydney,21.3,26.6,7.8,8.4
2009-11-27,Sydney,21.3,33.2,7.8,12.4
2009-11-28,Sydney,21.1,29.3,12.8,9.5
2009-11-29,Sydney,19.5,30.5,10.6,12.4
2009-11-30,Sydney,18.1,23.1,11.8,3.9
2009-12-01,Sydney,14.3,21.2,6.4,9.6
2009-12-02,Sydney,13.5,22.6,6.4,11.2
2009-12-03,Sydney,15.2,22.6,6.8,12.9
2009-12-04,Sydney,17.3,24.4,8,12.5
2009-12-05,Sydney,18.2,23.4,9.8,6.5
2009-12-06,Sydney,18.7,25.6,6.2,10.5
2009-12-07,Sydney,21.7,28.5,8.2,11.1
2009-12-08,Sydney,20.1,27.6,10.2,8.8
2009-12-09,Sydney,18.4,24,8.2,9.8
2009-12-10,Sydney,19.2,28.8,7.8,1.2
2009-12-11,Sydney,19.9,28.8,7,12.9
2009-12-12,Sydney,16.9,27.1,11.4,13
2009-12-13,Sydney,20.3,27.4,8.4,11.1
2009-12-14,Sydney,20,24.3,9,0.01
2009-12-15,Sydney,19.1,24.5,4.8,4.3
2009-12-16,Sydney,21.7,26.5,9.2,10.6
2009-12-17,Sydney,21.5,32,10.4,11.6
2009-12-18,Sydney,20.2,21.4,13.6,0.01
2009-12-19,Sydney,16.9,28.9,3.8,10
2009-12-20,Sydney,19.6,22.5,10.2,0.01
2009-12-21,Sydney,19.9,24.9,4.4,9.7
2009-12-22,Sydney,19.7,29.4,9,12
2009-12-23,Sydney,19.7,0.01,10,11.1
2009-12-24,Sydney,0.01,0.01,10,0.01
2009-12-25,Sydney,21.6,28.1,10.8,0.01
2009-12-26,Sydney,17.7,20.2,2.8,0.01
2009-12-27,Sydney,17.7,22.9,1.8,0.01
2009-12-28,Sydney,20.1,23.1,2.6,1.4
2009-12-29,Sydney,19.8,26.1,2.4,11.9
2009-12-30,Sydney,19.8,25.2,8.6,12.8
2009-12-31,Sydney,20.1,24.8,8,2
2010-01-01,Sydney,20.9,29.3,2.8,1.1
2010-01-02,Sydney,23.3,30.7,6.8,4.8
2010-01-03,Sydney,18.9,21.5,7,0.01
2010-01-04,Sydney,18.2,23.9,2.4,2.8
2010-01-05,Sydney,18.3,26.1,4.6,10.4
2010-01-06,Sydney,21.8,27.6,8.4,9.5
2010-01-07,Sydney,20.8,24.9,8,0.8
2010-01-08,Sydney,20.9,25.6,6,7.7
2010-01-09,Sydney,20.8,32.4,5.4,13.2
2010-01-10,Sydney,24.1,30,11,12.7
2010-01-11,Sydney,22.1,25.8,8.6,7.8
2010-01-12,Sydney,23,30.3,8.8,9.4
2010-01-13,Sydney,23.7,27.7,9.2,8.8
2010-01-14,Sydney,19.5,22.9,7.8,0.2
2010-01-15,Sydney,19,25.1,3.8,3
2010-01-16,Sydney,21.7,25.9,5.4,4.8
2010-01-17,Sydney,20.3,27.3,6.6,10.3
2010-01-18,Sydney,16.7,25.7,8,13
2010-01-19,Sydney,15.6,26.8,10,13.3
2010-01-20,Sydney,17.4,28.9,10.4,13
2010-01-21,Sydney,19.5,27.4,9,12.8
2010-01-22,Sydney,22.6,32.6,8.2,9.6
2010-01-23,Sydney,25,41.3,13.4,5.6
2010-01-24,Sydney,18.4,23,8.6,0.1
2010-01-25,Sydney,19.5,26.1,3.6,2.8
2010-01-26,Sydney,22.3,29,4,8.6
2010-01-27,Sydney,22.9,27.1,6.2,4.6
2010-01-28,Sydney,22.2,26.6,4.8,1.8
2010-01-29,Sydney,19.6,30.2,3.4,9.5
2010-01-30,Sydney,20.5,27.3,6.4,7
2010-01-31,Sydney,21.5,26.6,5.4,9.2
2010-02-01,Sydney,22.6,27.7,7.8,7.9
2010-02-02,Sydney,22.7,27.7,8,9.8
2010-02-03,Sydney,21.4,27.3,6.4,7.3
2010-02-04,Sydney,21.9,27.2,6,3.9
2010-02-05,Sydney,23.1,26.5,4.8,3
2010-02-06,Sydney,20.5,22.4,5,0.01
2010-02-07,Sydney,20.2,25,7.4,0.2
2010-02-08,Sydney,21,27.6,1.8,2.3
2010-02-09,Sydney,22.8,27.6,5.8,9.9
2010-02-10,Sydney,21.7,27.9,5.8,10.1
2010-02-11,Sydney,21.4,28.2,8.8,6.9
2010-02-12,Sydney,23.9,37.8,9,9.8
2010-02-13,Sydney,21.4,25.5,9.4,0.3
2010-02-14,Sydney,22.1,26.4,2,1.4
2010-02-15,Sydney,20.2,30,2.8,9.9
2010-02-16,Sydney,21.3,26.4,7.6,8.7
2010-02-17,Sydney,18.5,25.6,7.8,12.8
2010-02-18,Sydney,18.3,25.9,8,12
2010-02-19,Sydney,20.2,25.5,7.2,8
2010-02-20,Sydney,18.9,27.3,6.4,11.8
2010-02-21,Sydney,20.7,29.8,9.6,11.6
2010-02-22,Sydney,23.2,35.4,9.4,11.9
2010-02-23,Sydney,26,28.6,10.4,7.4
2010-02-24,Sydney,21.1,24.1,9.2,1.5
2010-02-25,Sydney,20.5,24.6,4.4,9.3
2010-02-26,Sydney,18.1,25.1,6,1.6
2010-02-27,Sydney,18.4,27,3.8,11.8
2010-02-28,Sydney,21,26.7,8,3.8
2010-03-01,Sydney,19.2,19.7,5,0.01
2010-03-02,Sydney,17.3,23,3.8,1.3
2010-03-03,Sydney,18.2,24.4,7.2,7.5
2010-03-04,Sydney,17.2,25.2,4.4,7.9
2010-03-05,Sydney,20.5,25.1,5.2,1
2010-03-06,Sydney,20.9,26.7,3.4,6.2
2010-03-07,Sydney,22.3,26.4,5,5
2010-03-08,Sydney,22.6,29.2,6.4,6.4
2010-03-09,Sydney,20.8,30,9.2,11.7
2010-03-10,Sydney,19.2,20.8,8,0.3
2010-03-11,Sydney,18.2,24.2,5.2,9
2010-03-12,Sydney,18.7,24.5,9,7.9
2010-03-13,Sydney,17.4,24.7,7.4,7.1
2010-03-14,Sydney,16.2,24.6,5.6,6.9
2010-03-15,Sydney,18,25.2,5.4,5.9
2010-03-16,Sydney,17.4,25.5,5.8,11
2010-03-17,Sydney,15.6,26,5.4,11.3
2010-03-18,Sydney,17,26.5,6.6,10.2
2010-03-19,Sydney,18.2,27.4,7,11.2
2010-03-20,Sydney,19.8,29,6.2,11.1
2010-03-21,Sydney,21.7,30.9,7,9
2010-03-22,Sydney,20.8,25,8.4,6.3
2010-03-23,Sydney,18.7,27,4.4,10.9
2010-03-24,Sydney,18.7,26,7.6,6.1
2010-03-25,Sydney,19.5,25.5,4,8.7
2010-03-26,Sydney,19.5,29.6,5.6,8.9
2010-03-27,Sydney,22.4,26.9,7.4,7.2
2010-03-28,Sydney,20.8,26.4,5.4,8.2
2010-03-29,Sydney,22.4,27.5,2.8,0.1
2010-03-30,Sydney,20.5,21.3,0.01,0.01
2010-03-31,Sydney,18.9,23.1,2.6,3.1
2010-04-01,Sydney,16,25.3,3.6,10.8
2010-04-02,Sydney,17.2,24.6,5.8,9.4
2010-04-03,Sydney,15.9,24,6.6,7.2
2010-04-04,Sydney,15.4,22.4,3.2,6.6
2010-04-05,Sydney,15.2,21.5,4.4,2.5
2010-04-06,Sydney,17,23.3,2.2,3.6
2010-04-07,Sydney,18.5,25.9,2.8,1.1
2010-04-08,Sydney,19,28.7,1.4,9.4
2010-04-09,Sydney,16.4,25,5,9.9
2010-04-10,Sydney,17.2,27.9,6.2,7.4
2010-04-11,Sydney,18.6,27.9,3.8,10.1
2010-04-12,Sydney,14.9,24.5,8.6,10.6
2010-04-13,Sydney,13.1,22.3,5.6,10.7
2010-04-14,Sydney,12.3,25,3.8,10.7
2010-04-15,Sydney,14.9,24.9,6,9.3
2010-04-16,Sydney,16.9,22.3,3.6,1.5
2010-04-17,Sydney,15.8,25.3,2.4,10.8
2010-04-18,Sydney,0.01,25,3.6,10.7
2010-04-19,Sydney,17.2,24.9,2.8,9.6
2010-04-20,Sydney,17.3,24.8,4.4,9.3
2010-04-21,Sydney,16.7,24.2,3.4,10.3
2010-04-22,Sydney,16.7,25.7,5.4,10.6
2010-04-23,Sydney,16.6,30.7,3.2,10.6
2010-04-24,Sydney,20.2,28.6,7.2,3.4
2010-04-25,Sydney,17.2,22.8,5,3.8
2010-04-26,Sydney,12.5,21.8,3,10.5
2010-04-27,Sydney,11.7,20.4,4.4,2.2
2010-04-28,Sydney,12.6,24.9,2.4,10.6
2010-04-29,Sydney,13.4,24.6,5,10.7
2010-04-30,Sydney,14,19.4,5,0.3
2010-05-01,Sydney,14.3,21.7,2.4,4.6
2010-05-02,Sydney,13.9,26.5,1.2,8.2
2010-05-03,Sydney,14.8,23.1,4,6.5
2010-05-04,Sydney,16.2,24.8,2.8,4.2
2010-05-05,Sydney,15.4,21.1,3.8,5.9
2010-05-06,Sydney,10.4,22.3,4.4,10.2
2010-05-07,Sydney,11.3,23.1,3.8,10.1
2010-05-08,Sydney,11.1,24.4,4,10.1
2010-05-09,Sydney,12.3,24.6,2,10.2
2010-05-10,Sydney,12.7,22.6,4.4,10.2
2010-05-11,Sydney,12.8,27,4.2,9.7
2010-05-12,Sydney,10.5,18.9,8,10.2
2010-05-13,Sydney,9,21.9,4.4,9.4
2010-05-14,Sydney,10.6,21.1,4.4,10.1
2010-05-15,Sydney,10.5,21.7,4,9
2010-05-16,Sydney,11,21.6,4.4,7.7
2010-05-17,Sydney,12.7,17.9,2.4,0.2
2010-05-18,Sydney,12.4,15.4,1,0.01
2010-05-19,Sydney,11.7,20,0.01,6.1
2010-05-20,Sydney,11.2,19.7,2.8,6.1
2010-05-21,Sydney,11.7,19.5,1.2,6.4
2010-05-22,Sydney,10.8,18.6,2.8,4.8
2010-05-23,Sydney,9.5,14.7,5,0.4
2010-05-24,Sydney,10.4,18,0.2,1.1
2010-05-25,Sydney,12.1,16.9,0.01,0.1
2010-05-26,Sydney,13.4,17.3,2.2,0.01
2010-05-27,Sydney,13.5,18.7,5.8,3.3
2010-05-28,Sydney,11.7,19.9,1.4,4.6
2010-05-29,Sydney,12.9,17.1,2.8,0.01
2010-05-30,Sydney,11.8,19.1,1.4,2.2
2010-05-31,Sydney,12.6,20,1.6,3.9
2010-06-01,Sydney,11.7,19.7,2.6,3.6
